country,friendship,power,usthem,session_number,model_number
russia,-3.4563339344548125,-1.1951757028428052,-0.6650387420785513,100,0
nicaragua,-3.371580335693531,-1.749835701209235,-0.3950297770540093,100,0
japan,-3.1050381201729094,0.1734095643597652,2.1863381822152888,100,0
mexico,1.7353027452151562,1.4449171384764918,1.4145889667510996,100,0
vietnam,-1.3053571210701456,-0.8931314027489502,-0.8087047989949959,100,0
panama,-1.3858717973219217,-0.7289228413176091,-0.5460514219505903,100,0
israel,0.28517980887554145,0.21626803382984522,-0.01431657706146838,100,0
south_africa,-2.021222195501144,-0.4149607915591132,0.7694823077142242,100,0
canada,-0.45896436519694983,0.6585880896307464,1.6530436760638454,100,0
iran,-3.652213558560224,-2.5466816914275556,1.7308374645267506,100,0
el_salvador,-2.650639968739813,-2.306159151301268,-1.304552919555208,100,0
afghanistan,-3.5515777844156804,-2.275258627637667,1.3257932404663977,100,0
cuba,-3.2591626051899008,-0.6131397671891251,-0.5348566753209336,100,0
china,-0.7804377557495132,-0.2273080785229128,0.8760891979111337,100,0
united_kingdom,0.39326337923641674,2.078907623332671,-0.459044521301241,100,0
honduras,-2.4702033906070526,-3.654438372604903,0.3918822189439966,100,0
taiwan,1.1138216568812893,1.9344683521929462,0.6288510276789723,100,0
germany,-1.5587960886430121,-1.6454089799668448,0.8634240367501357,100,0
turkey,-1.184452752200205,-1.2780170877054702,1.9972688909871357,100,0
france,1.36649739556909,0.5064300523377215,-0.6048962337011807,100,0
pakistan,-2.2490523947847962,-1.9937789890444513,1.6586564482066173,100,0
south_korea,-2.222024739345124,0.7445714898165653,1.746004546825475,100,0
philippines,-1.0068820784966064,0.3304274975475426,-0.6313112934785466,100,0
romania,-2.331096819252543,-1.6207110867686771,0.4046636746449457,100,0
costa_rica,-0.25956108429310965,-2.0110910035583536,-0.8299939943711554,100,0
guatemala,-0.9203507715312589,-2.5034115766415517,-0.6516639516695121,100,0
angola,-3.53059613676098,-1.0866966081213822,0.6206005120278949,100,0
haiti,-1.4704084253200673,1.005342542576102,0.25214317980380874,100,0
poland,-1.4482252173796768,-0.631932235409673,-1.1998105372362966,100,0
india,-1.5283878580460173,-0.6660127277783809,0.9723497965955612,100,0
iraq,-4.793547028180846,-4.590631022017942,2.500630887105449,100,0
cyprus,-2.3232596132991223,-0.13094645136925398,2.882448958152462,100,0
lebanon,-1.4198054916641494,-0.2926380411386629,0.669364795412061,100,0
chile,-1.4496372947319522,-0.09360880850471749,-0.35383875534732306,100,0
greece,-0.11034488767345176,1.6927535669500242,-1.58473474688019,100,0
italy,0.0712431458566014,1.3205341010141844,-0.970062796314763,100,0
mozambique,-3.606520396357831,-2.571673790909622,0.5114647450800918,100,0
ireland,1.5765483685035364,1.1195397966484817,-0.09921163540592974,100,0
west_germany,-0.8812786871185245,-0.4913321943780669,1.0079674760804884,100,0
kuwait,-2.2014443716953878,-2.949481058019577,1.3034051142718923,100,0
ethiopia,-3.846278695827723,-3.080359602238616,0.06886808823246333,100,0
hungary,-1.7078626830577963,1.1658493544904818,-0.6069383692937711,100,0
saudi_arabia,-0.6504736543203389,-0.030811850483246844,1.031317190632767,100,0
cambodia,-2.0766950680108294,-3.8396602003952274,0.4138564895207949,100,0
brazil,-2.920280129575456,-0.22308024210301713,0.7140617093850865,100,0
yugoslavia,-2.687244961478183,-0.8746370143459928,-0.5546866943003647,100,0
new_zealand,-3.0774711294178347,-1.5058112655565672,1.1907235503598306,100,0
colombia,-0.12725542753800062,-1.0072320926203953,1.551573502021197,100,0
spain,-0.3156463289340106,-0.4405504819960586,-2.031420885816267,100,0
bahamas,0.3716445939288076,-0.5915702259553268,1.0393635217153565,100,0
egypt,-0.7119933085552602,-2.4014253317461023,1.5988073772380877,100,0
australia,-0.9156330895574881,2.1302234465906684,-0.43766619789845673,100,0
czechoslovakia,-2.479318903645743,-1.2417491558027032,-0.12703897574292525,100,0
libya,-3.276701572488466,-0.9089281412383353,2.105638182824399,100,0
palau,-1.5802864352607415,-0.06742979281880558,-0.11331947908616076,100,0
thailand,0.6924036448520345,-1.8182132884853914,-0.7004812144954602,100,0
syria,-1.1393375346563706,-2.4581050441883763,0.22336389335759793,100,0
argentina,-1.7884395803109643,0.2764574717984938,-0.13391580970716827,100,0
netherlands,1.946201577785995,1.7209938549704717,-1.1690894890947128,100,0
uruguay,-3.4196201712050525,0.10923356252295369,1.3917774328986872,100,0
jamaica,0.2894697690500435,1.0532005541741858,0.2641532034721269,100,0
north_korea,-4.3040126035598245,-2.466177532091489,0.718373287205112,100,0
grenada,-1.622927746170077,-1.3260313971808844,-0.8104422029467914,100,0
jordan,2.233624335279204,0.8227664947603128,-2.32244536223142,100,0
myanmar,-2.9792885206207393,0.5318895672979417,2.039240025794085,100,0
norway,0.038588091251507986,0.6538554429967639,1.100450105185228,100,0
portugal,0.9180316128499925,1.5029577467317876,-0.5401269428881332,100,0
bolivia,-0.9119017154680208,-0.42331212431179827,1.841049243576139,100,0
singapore,-0.35083619190906173,-0.8806636232063267,-0.8234342909797965,100,0
sweden,1.463006273600861,2.0837600681542616,-0.31568694842476397,100,0
bangladesh,-1.3822789393144932,-1.2286418074573324,0.06440215439137874,100,0
sri_lanka,-0.24950738117665297,1.0948818675935303,-0.3580207616860505,100,0
samoa,2.7136195579449365,2.5074240532174583,0.7484833319307357,100,0
switzerland,-0.7928875181884716,0.9555361023227842,0.40546602104401525,100,0
austria,-0.08400701314927313,0.16106167196872864,-1.797671584286614,100,0
paraguay,-0.8338037424844156,-0.03387259842789819,-0.6081101365658799,100,0
laos,-0.688653424341389,-1.5189083926844498,-1.504728092978415,100,0
indonesia,-1.0529494518654796,-0.1621740499103917,0.4234224094549856,100,0
peru,0.06383656043077088,-0.3259073650946961,0.48415409261311526,100,0
east_germany,-1.6238493933213731,-0.9141621240169565,0.8259044745076709,100,0
bulgaria,-2.430870700958518,-2.085558951781634,-2.1923299342871796,100,0
venezuela,0.5434354835426803,-0.05256930756774934,0.4909172428277671,100,0
belgium,-0.14545933511367312,-0.8171433128436414,-0.407051808205156,100,0
bahrain,-1.3234063855796419,-2.8196071196587704,0.3888001259572798,100,0
fiji,-0.3638605758229099,-0.017946800314993624,1.8773762041714614,100,0
denmark,-0.8454035846009961,-1.5323598333542476,0.05231358135356226,100,0
morocco,2.0281215765593683,0.008155547709494377,1.1018596031942036,100,0
iceland,-0.10741151272138084,-0.05604987989648994,-0.2734618221539685,100,0
malaysia,-0.7908676549122623,-2.1453140396234596,-1.0629209104519175,100,0
democratic_republic_of_the_congo,-0.42761719034787227,0.11108302432960017,1.1815794418491163,100,0
dominican_republic,0.5454042151811234,1.4798849728145644,0.6775753688383703,100,0
marshall_islands,1.0439623190263423,0.9965579124984555,-0.7174100828042496,100,0
micronesia,1.4611117921757715,0.8987765704691182,0.2738178146228813,100,0
zimbabwe,-2.2204387498942264,-2.2248537753511233,-0.3006605121755471,100,0
kenya,1.5294363989715298,1.0934179952661742,0.6079860888100144,100,0
burundi,-2.3025796285458564,-1.4098140784704212,1.832466417423824,100,0
oman,2.2050199734945135,0.9523348759122819,0.29671178739087617,100,0
sudan,-0.7774498218262713,-0.45267800918064793,0.7381658933277608,100,0
zambia,-2.316238241246103,-2.2778307515186635,1.8891633433016912,100,0
tunisia,-0.09647463048118007,0.05608300021418097,-1.0452483777229284,100,0
brunei,-0.07404459360953632,-0.7446718086801037,-0.03421380514975416,100,0
finland,-1.1573685060874888,-0.6842451968755306,0.07643138783174679,100,0
ecuador,-0.2661798720970142,0.08527830033411832,-0.9134594900207074,100,0
malta,0.9964473217834648,1.5353290037483596,0.3529884595342824,100,0
albania,-1.431735701735912,-1.3023118767548576,0.023064890442942625,100,0
guinea,0.081699536767388,-1.0661828609354789,-1.821067785025925,100,0
tonga,1.3770370049334588,0.5528927499514731,3.038249922448519,100,0
uganda,-0.5056084947259086,-0.7112583692102665,-0.16736052441761415,100,0
belize,-0.4948193468038911,-0.3265912004786538,1.1589033852817412,100,0
tanzania,-1.736445978099415,-0.8479492042104037,1.4171884440445566,100,0
nigeria,0.22397711731914624,-1.2246211878640132,-0.543211598682035,100,0
liberia,-0.8097459155902496,-0.41909686533545903,-1.551452589316111,100,0
